"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RV1";"Potentiometer_Bourns_3296W_Vertical";1;"10K Рег";;;
2;"D3,D4,D6,D5";"D2";4;"Д7";;;
3;"R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1K";;;
4;"D1,D2,D7";"D223";3;"Д9";;;
5;"J1";"PinSocket_1x02_P2.54mm_Vertical";1;"Вход";;;
6;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"560";;;
7;"J2";"PinSocket_1x03_P2.54mm_Vertical";1;"П213";;;
8;"J3";"PinSocket_1x02_P2.54mm_Vertical";1;"Вых";;;
9;"C1";"CP_Radial_D10.0mm_P3.80mm";1;"470Mф 15В";;;
10;"Q1";"Soviet-MP38";1;"MP42";;;
